COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;COD_GRUPO;Desc Grupo;
022423;PANELA PA-6015BR2 ELET.ARROZ 220V SEMP TCL;;03;0303;030315;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS PANELA ELETRICA;1006;ELETROPORTATEIS;
022424;PANELA PA-3015BR2 DE ARROZ SEMP TCL;;03;0303;030315;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS PANELA ELETRICA;1006;ELETROPORTATEIS;
022425;LIQUID.LI-3015BR2 220V SEMP TCL;;03;0303;030306;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS LIQUIDIFICADOR;1006;ELETROPORTATEIS;
022426;CAFETEIRA CF-6015 PR2 SEMP TCL;;03;0303;030312;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS CAFETEIRA;1006;ELETROPORTATEIS;
022427;CAFETEIRA CF-3015 PR2 SEMP TCL;;03;0303;030312;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS CAFETEIRA;1006;ELETROPORTATEIS;
022428;FERRO FE-6015 VD2 SEMP TCL;;03;0303;030304;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS FERRO;1006;ELETROPORTATEIS;
022430;FORNO MICROONDAS 23L MS2355RA.FWHGLGZ;;03;0301;030105;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO FORNO;1001;ELETRODOMESTICOS;
022431;FORNO MICROONDAS 30L MS3052RA.FW1GLGZ;;03;0301;030105;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO FORNO;1001;ELETRODOMESTICOS;
022432;FORNO MICROONDAS 30L MS3059LA.FS1GLGZ;;03;0301;030105;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO FORNO;1001;ELETRODOMESTICOS;
022433;FORNO MICROONDAS 30L MH7044LA.FWHGLGZ;;03;0301;030105;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO FORNO;1001;ELETRODOMESTICOS;
022434;FORNO MICROONDAS 30L MH7053RA.FS1GLGZ;;03;0301;030105;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO FORNO;1001;ELETRODOMESTICOS;
022435;BASE SUED AMASSA CHU LISA 27CMX1,88MX1,38M;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
