,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
66,2016-04-14,7.050511239726948,-1.1715196929821317,11.19686313415851,7.050511239726948,7.050511239726948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1337926690630242,-2.1337926690630242,-2.1337926690630242,0.0,0.0,0.0,-2.1337926690630242,-2.1337926690630242,-2.1337926690630242,0.0,0.0,0.0,4.916718570663924
67,2016-04-21,7.192817818966077,-0.7519855221841818,11.926535264359343,7.192817818966077,7.192817818966077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7651025805108038,-1.7651025805108038,-1.7651025805108038,0.0,0.0,0.0,-1.7651025805108038,-1.7651025805108038,-1.7651025805108038,0.0,0.0,0.0,5.427715238455273
68,2016-04-28,7.335124398205206,0.24593986759082023,13.747818815960095,7.335124398205206,7.335124398205206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18390287086264992,0.18390287086264992,0.18390287086264992,0.0,0.0,0.0,0.18390287086264992,0.18390287086264992,0.18390287086264992,0.0,0.0,0.0,7.519027269067856
69,2016-05-05,7.477430977444333,0.9281700605474623,14.021575179096368,7.477430977444333,7.477430977444333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7901159517870013,-2.7901159517870013,-2.7901159517870013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02118134298955693,-0.02118134298955693,-0.02118134298955693,-2.7901159517870013,-2.7901159517870013,-2.7901159517870013,2.7689346087974447,2.7689346087974447,2.7689346087974447,0.0,0.0,0.0,7.4562496344547755
70,2016-05-12,7.619737672166332,5.529898191560631,18.68713367316626,7.619737672166332,7.619737672166332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.136971983864435,4.136971983864435,4.136971983864435,0.0,0.0,0.0,4.136971983864435,4.136971983864435,4.136971983864435,0.0,0.0,0.0,11.756709656030768
71,2016-05-19,7.7620443668883325,4.591258405956165,17.413927416416694,7.7620443668883325,7.7620443668883325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.368571006941477,3.368571006941477,3.368571006941477,0.0,0.0,0.0,3.368571006941477,3.368571006941477,3.368571006941477,0.0,0.0,0.0,11.130615373829809
72,2016-05-26,7.904351061610333,2.8914916135274975,15.939586843246893,7.904351061610333,7.904351061610333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4642157373628069,1.4642157373628069,1.4642157373628069,0.0,0.0,0.0,1.4642157373628069,1.4642157373628069,1.4642157373628069,0.0,0.0,0.0,9.36856679897314
73,2016-06-02,8.046657756332333,1.8382085354802398,14.78026134440375,8.046657756332333,8.046657756332333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31133548927807875,0.31133548927807875,0.31133548927807875,0.0,0.0,0.0,0.31133548927807875,0.31133548927807875,0.31133548927807875,0.0,0.0,0.0,8.357993245610412
74,2016-06-09,8.188964451054334,-0.4868458819614243,13.084595911538537,8.188964451054334,8.188964451054334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.445011358420826,-2.445011358420826,-2.445011358420826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7053779089701535,-1.7053779089701535,-1.7053779089701535,-2.445011358420826,-2.445011358420826,-2.445011358420826,0.7396334494506724,0.7396334494506724,0.7396334494506724,0.0,0.0,0.0,6.48358654208418
75,2016-06-16,8.331271145580471,4.053686334325771,16.38974731328502,8.331271145580471,8.331271145580471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8206408362230682,1.8206408362230682,1.8206408362230682,0.0,0.0,0.0,1.8206408362230682,1.8206408362230682,1.8206408362230682,0.0,0.0,0.0,10.15191198180354
