COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;Cod Grupo;Desc Grupo;ATIVO;
RHC00122;CAMISA 117 MAS   EXTRENOS   EXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00123;CAMISA 117 MAS   EXTERNOS   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC99;SERVICOS MAT.DIVERSOS;S;
RHC00202;CAMISA 102 MAS   ADM DEP COORD   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00203;CAMISA 102 MAS   ADM DEP COORD   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00204;CAMISA 102 MAS   ADM DEP COORD   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00205;CAMISA 102 MAS   ADM DEP COORD   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00206;CAMISA 102 MAS   ADM DEP COORD   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00207;CAMISA 102 MAS   ADM DEP COORD   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00208;CAMISA 102 MAS   ADM DEP COORD   EXGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00209;CAMISA 102 MAS   ADM DEP COORD   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00210;CAMISA 102 MAS   ADM DEP COORD   EXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00302;CAMISA 103 MAS   GER CD   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00303;CAMISA 103 MAS   GER CD   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00304;CAMISA 103 MAS   GER CD   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00305;CAMISA 103 MAS   GER CD   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00306;CAMISA 103 MAS   GER CD   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00307;CAMISA 103 MAS   GER CD   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00402;CAMISA 104 MAS   COBRANC   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00403;CAMISA 104 MAS   COBRANC   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00404;CAMISA 104 MAS   COBRANC   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00405;CAMISA 104 MAS   COBRANC   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00406;CAMISA 104 MAS   COBRANC   EXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00407;CAMISA 104 MAS   COBRANC   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00502;CAMISA 105 MAS   SEG PATRIM   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00503;CAMISA 105 MAS   SEG PATRIM   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
