,Observed,trend,seasonal,resid
2015-02-28,11.0,5.95,0.40139094432699085,4.648609055673009
2015-03-02,10.0,5.666666666666666,-0.14065451021846376,4.4739878435517975
2015-03-03,2.0,5.566666666666666,-0.2955787526427061,-3.27108791402396
2015-03-04,6.0,5.383333333333333,-0.17550299506694858,0.7921696617336157
2015-03-05,3.0,5.133333333333333,0.05972427766032424,-2.193057610993657
2015-03-06,5.0,5.083333333333333,0.932072762508809,-1.015406095842142
2015-03-07,3.0,5.2333333333333325,-0.6300484496124032,-1.6032848837209293
2015-03-09,3.0,5.433333333333334,-0.19519996476391824,-2.2381333685694154
2015-03-10,4.0,5.550000000000001,-0.6917908738548274,-0.8582091261451733
2015-03-11,3.0,5.483333333333333,-0.7736090556730091,-1.7097242776603243
2015-03-12,6.0,5.233333333333333,-0.001128435517970391,0.767795102184637
2015-03-13,5.0,5.116666666666666,-0.4356245595489781,0.31895789288231186
2015-03-14,3.0,5.166666666666666,-0.19260130373502465,-1.9740653629316414
2015-03-16,7.0,5.083333333333333,0.39848396758280474,1.5181826990838623
2015-03-17,7.0,4.9,-0.31663231148696264,2.4166323114869623
2015-03-18,4.0,4.716666666666667,0.502359936575053,-1.2190266032417196
2015-03-19,6.0,4.583333333333334,0.32018939393939405,1.096477272727272
2015-03-20,3.0,4.6,-0.0026788231148695465,-1.59732117688513
2015-03-21,2.0,4.583333333333334,0.024065362931642017,-2.607398696264976
2015-03-23,1.0,4.466666666666667,-0.06663231148696266,-3.400034355179704
2015-03-24,7.0,4.366666666666667,0.37755373502466516,2.255779598308668
2015-03-25,7.0,4.283333333333333,0.403910324171952,2.3127563424947146
2015-03-26,8.0,4.283333333333333,0.12949171952078925,3.5871749471458774
2015-03-27,9.0,4.25,-0.4011284355179704,5.15112843551797
2015-03-28,3.0,4.2333333333333325,0.04189482029598302,-1.2752281536293155
2015-03-30,3.0,4.183333333333334,-0.02477184637068358,-1.15856148696265
2015-03-31,4.0,4.033333333333333,-0.16004316420014106,0.12670983086680784
2015-04-01,3.0,3.966666666666667,0.30894908386187453,-1.2756157505285413
2015-04-02,3.0,3.8666666666666663,0.48017882311486965,-1.3468454897815358
2015-04-04,3.0,3.65,0.12336064129668783,-0.7733606412966878
2015-04-06,6.0,3.5,0.40139094432699085,2.098609055673009
2015-04-07,7.0,3.4833333333333334,-0.14065451021846376,3.65732117688513
