,ENTREGA,CHIP CLARO ODA 128KB TRIPE,GE1 ELETROPORTATEIS,CHIP VIVO 4G 128K P19 HRS PRE,GE2 CELULAR,CHIP OI 4G 128KB,GE1 CELULAR,CHIP TIM INFINITY PRE HRD TRIPLO 4G,VENTILADOR 30 NV-15 3P BR 220V,CHIP TIM INFINITY PRE DUPLO 4G HDR NACIONAL
2015-05-16,1.0,0.0,7.0,0.0,0.0,3.0,7.0,0.0,2.0,8.0
2015-05-18,14.0,0.0,10.0,0.0,5.0,16.0,9.0,0.0,2.0,4.0
2015-05-19,5.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,3.0,5.0
2015-05-20,9.0,0.0,3.0,2.0,1.0,10.0,4.0,0.0,0.0,5.0
2015-05-21,7.0,0.0,3.0,2.0,1.0,2.0,10.0,0.0,0.0,5.0
2015-05-22,3.0,0.0,7.0,0.0,0.0,3.0,7.0,0.0,2.0,11.0
2015-05-23,8.0,0.0,3.0,1.0,2.0,5.0,2.0,0.0,0.0,7.0
2015-05-25,7.0,0.0,12.0,6.0,1.0,8.0,10.0,0.0,2.0,9.0
2015-05-26,4.0,0.0,3.0,1.0,0.0,8.0,2.0,0.0,1.0,7.0
2015-05-27,4.0,0.0,8.0,3.0,0.0,7.0,5.0,0.0,7.0,8.0
2015-05-28,9.0,0.0,3.0,4.0,3.0,16.0,7.0,0.0,0.0,11.0
2015-05-29,0.0,0.0,8.0,1.0,1.0,7.0,7.0,0.0,0.0,11.0
2015-05-30,4.0,0.0,5.0,3.0,0.0,19.0,7.0,0.0,6.0,17.0
2015-05-31,2.0,0.0,7.0,0.0,1.0,5.0,2.0,0.0,2.0,2.0
2015-06-01,5.0,0.0,5.0,1.0,2.0,12.0,5.0,0.0,2.0,8.0
2015-06-02,2.0,0.0,5.0,2.0,5.0,8.0,9.0,0.0,1.0,11.0
2015-06-03,2.0,0.0,2.0,1.0,8.0,7.0,3.0,0.0,2.0,8.0
2015-06-04,2.0,0.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,3.0
2015-06-05,6.0,0.0,7.0,1.0,6.0,7.0,4.0,0.0,4.0,15.0
2015-06-06,2.0,0.0,3.0,3.0,3.0,8.0,8.0,0.0,2.0,12.0
2015-06-08,6.0,0.0,7.0,3.0,6.0,15.0,8.0,0.0,2.0,15.0
2015-06-09,4.0,0.0,4.0,0.0,7.0,8.0,6.0,0.0,1.0,9.0
2015-06-10,3.0,0.0,4.0,1.0,2.0,12.0,8.0,0.0,0.0,14.0
2015-06-11,3.0,0.0,8.0,3.0,3.0,10.0,7.0,0.0,2.0,14.0
2015-06-12,1.0,0.0,6.0,4.0,10.0,10.0,9.0,0.0,0.0,15.0
2015-06-13,3.0,0.0,4.0,1.0,4.0,10.0,6.0,0.0,2.0,11.0
2015-06-15,11.0,0.0,4.0,2.0,9.0,10.0,5.0,0.0,0.0,10.0
2015-06-16,9.0,0.0,1.0,2.0,8.0,4.0,2.0,0.0,1.0,8.0
2015-06-17,8.0,0.0,4.0,1.0,1.0,7.0,3.0,0.0,0.0,9.0
2015-06-18,4.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,8.0
2015-06-19,1.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,3.0,9.0
2015-06-20,0.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,9.0
2015-06-22,2.0,0.0,7.0,3.0,3.0,8.0,5.0,0.0,0.0,18.0
2015-06-23,4.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,9.0
2015-06-25,3.0,0.0,1.0,5.0,3.0,5.0,5.0,0.0,0.0,7.0
2015-06-26,3.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,22.0
2015-06-27,6.0,0.0,2.0,2.0,1.0,9.0,2.0,0.0,3.0,13.0
2015-06-29,8.0,0.0,3.0,4.0,1.0,10.0,7.0,0.0,1.0,18.0
2015-06-30,8.0,0.0,2.0,0.0,0.0,9.0,4.0,0.0,3.0,15.0
2015-07-01,4.0,0.0,1.0,4.0,3.0,7.0,3.0,0.0,0.0,13.0
2015-07-02,6.0,0.0,4.0,2.0,3.0,9.0,7.0,0.0,0.0,7.0
2015-07-03,3.0,0.0,3.0,4.0,5.0,5.0,4.0,0.0,2.0,4.0
2015-07-04,6.0,0.0,2.0,1.0,2.0,8.0,2.0,0.0,1.0,6.0
2015-07-06,7.0,0.0,2.0,3.0,8.0,11.0,8.0,0.0,2.0,16.0
2015-07-07,3.0,0.0,5.0,1.0,7.0,5.0,2.0,0.0,0.0,9.0
2015-07-08,7.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,1.0,13.0
2015-07-09,5.0,0.0,7.0,0.0,7.0,2.0,6.0,0.0,1.0,14.0
2015-07-10,8.0,0.0,7.0,3.0,4.0,9.0,6.0,0.0,1.0,12.0
2015-07-11,3.0,0.0,3.0,5.0,4.0,3.0,7.0,0.0,0.0,11.0
2015-07-13,10.0,0.0,5.0,6.0,7.0,5.0,8.0,0.0,0.0,11.0
2015-07-14,2.0,0.0,3.0,4.0,6.0,3.0,3.0,0.0,2.0,6.0
2015-07-15,4.0,0.0,2.0,3.0,1.0,4.0,2.0,0.0,1.0,7.0
2015-07-16,3.0,0.0,3.0,1.0,3.0,4.0,2.0,0.0,0.0,6.0
2015-07-17,4.0,0.0,4.0,1.0,4.0,2.0,2.0,0.0,0.0,6.0
2015-07-18,4.0,0.0,2.0,3.0,3.0,4.0,2.0,0.0,1.0,5.0
2015-07-20,4.0,0.0,7.0,4.0,4.0,7.0,3.0,0.0,1.0,13.0
2015-07-21,2.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,3.0
2015-07-22,6.0,0.0,5.0,1.0,4.0,5.0,3.0,0.0,1.0,7.0
2015-07-23,10.0,0.0,3.0,2.0,2.0,4.0,7.0,0.0,0.0,10.0
2015-07-24,4.0,0.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0,11.0
2015-07-25,3.0,0.0,5.0,3.0,3.0,5.0,2.0,0.0,0.0,7.0
2015-07-27,6.0,0.0,3.0,5.0,8.0,11.0,4.0,0.0,1.0,15.0
2015-07-28,7.0,0.0,2.0,1.0,2.0,4.0,5.0,0.0,1.0,8.0
2015-07-29,4.0,0.0,4.0,1.0,3.0,9.0,5.0,0.0,0.0,9.0
2015-07-30,6.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,6.0
2015-07-31,7.0,0.0,5.0,3.0,6.0,5.0,4.0,0.0,1.0,10.0
2015-08-01,6.0,0.0,2.0,2.0,4.0,3.0,4.0,0.0,0.0,8.0
2015-08-03,3.0,0.0,1.0,4.0,2.0,6.0,2.0,0.0,0.0,4.0
2015-08-04,7.0,0.0,5.0,5.0,5.0,5.0,7.0,0.0,0.0,21.0
2015-08-05,6.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,10.0
2015-08-06,7.0,0.0,9.0,2.0,4.0,3.0,5.0,0.0,0.0,13.0
2015-08-07,7.0,0.0,6.0,3.0,3.0,4.0,0.0,0.0,1.0,13.0
2015-08-08,3.0,0.0,4.0,0.0,11.0,6.0,4.0,0.0,2.0,23.0
2015-08-09,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0
2015-08-10,9.0,0.0,7.0,0.0,5.0,6.0,5.0,0.0,0.0,11.0
2015-08-11,7.0,0.0,8.0,0.0,1.0,3.0,5.0,0.0,0.0,5.0
2015-08-12,2.0,0.0,1.0,0.0,3.0,4.0,5.0,0.0,0.0,11.0
2015-08-13,4.0,0.0,7.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0
2015-08-14,5.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,10.0
2015-08-15,1.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,8.0
2015-08-17,2.0,0.0,4.0,1.0,6.0,5.0,1.0,0.0,0.0,12.0
2015-08-18,3.0,0.0,0.0,0.0,5.0,10.0,9.0,0.0,0.0,10.0
2015-08-19,8.0,0.0,4.0,1.0,1.0,6.0,3.0,0.0,0.0,4.0
2015-08-20,6.0,0.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,4.0
2015-08-21,4.0,0.0,3.0,2.0,6.0,7.0,3.0,0.0,0.0,15.0
2015-08-22,4.0,0.0,5.0,1.0,3.0,7.0,5.0,0.0,0.0,8.0
2015-08-24,6.0,0.0,5.0,0.0,10.0,9.0,6.0,0.0,0.0,12.0
2015-08-25,1.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0
2015-08-26,2.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0
2015-08-27,1.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0
2015-08-28,2.0,0.0,3.0,1.0,5.0,9.0,2.0,0.0,0.0,2.0
2015-08-29,3.0,0.0,6.0,1.0,4.0,13.0,4.0,0.0,1.0,6.0
2015-08-31,10.0,0.0,2.0,5.0,2.0,13.0,3.0,0.0,0.0,5.0
2015-09-01,2.0,0.0,4.0,1.0,3.0,10.0,4.0,0.0,0.0,4.0
2015-09-02,2.0,0.0,6.0,2.0,3.0,7.0,1.0,0.0,1.0,4.0
2015-09-03,2.0,0.0,3.0,2.0,4.0,7.0,3.0,0.0,1.0,2.0
2015-09-04,2.0,0.0,7.0,1.0,2.0,6.0,1.0,0.0,1.0,0.0
2015-09-05,1.0,0.0,3.0,3.0,5.0,15.0,5.0,0.0,1.0,3.0
2015-09-08,9.0,0.0,4.0,3.0,3.0,22.0,4.0,0.0,2.0,2.0
2015-09-09,7.0,0.0,6.0,2.0,4.0,7.0,3.0,0.0,7.0,3.0
2015-09-10,6.0,0.0,3.0,6.0,4.0,14.0,2.0,0.0,2.0,4.0
2015-09-11,2.0,0.0,3.0,6.0,4.0,3.0,0.0,0.0,1.0,2.0
2015-09-12,6.0,0.0,7.0,4.0,8.0,19.0,7.0,0.0,3.0,1.0
2015-09-14,10.0,0.0,9.0,1.0,8.0,12.0,8.0,0.0,1.0,4.0
2015-09-15,4.0,0.0,5.0,2.0,2.0,7.0,2.0,0.0,2.0,1.0
2015-09-16,3.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0
2015-09-17,5.0,0.0,3.0,0.0,7.0,9.0,2.0,0.0,0.0,0.0
