ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-09-15,2019-09-15,33.12277832481993,-24.547053453801023,60.54922560277955,33.12277832481993,33.12277832481993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.946646834318603,-17.946646834318603,-17.946646834318603,0.0,0.0,0.0,-20.40209045100935,-20.40209045100935,-20.40209045100935,2.455443616690748,2.455443616690748,2.455443616690748,0.0,0.0,0.0,15.17613149050133
2019-09-16,2019-09-16,33.04820978383754,-6.6941071299687,83.50257128541864,33.04820978383754,33.04820978383754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.521881353465833,5.521881353465833,5.521881353465833,0.0,0.0,0.0,3.219790564968145,3.219790564968145,3.219790564968145,2.3020907884976887,2.3020907884976887,2.3020907884976887,0.0,0.0,0.0,38.57009113730338
2019-09-17,2019-09-17,32.973641242855166,-3.3790761971918966,79.56443007313324,32.973641242855166,32.973641242855166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.953740641325852,4.953740641325852,4.953740641325852,0.0,0.0,0.0,2.6427172419409444,2.6427172419409444,2.6427172419409444,2.3110233993849056,2.3110233993849056,2.3110233993849056,0.0,0.0,0.0,37.92738188418102
2019-09-18,2019-09-18,32.89907270187278,-6.2431785494836,82.00705351946206,32.89907270187278,32.89907270187278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.151378045623296,4.151378045623296,4.151378045623296,0.0,0.0,0.0,1.6700641365903104,1.6700641365903104,1.6700641365903104,2.481313909032986,2.481313909032986,2.481313909032986,0.0,0.0,0.0,37.05045074749608
2019-09-19,2019-09-19,32.82450416089039,-3.8462762396445034,79.45982387060123,32.82450416089039,32.82450416089039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.359815613990864,5.359815613990864,5.359815613990864,0.0,0.0,0.0,2.552929546106148,2.552929546106148,2.552929546106148,2.806886067884715,2.806886067884715,2.806886067884715,0.0,0.0,0.0,38.18431977488125
2019-09-20,2019-09-20,32.749935619908015,-0.8406908789737653,82.30626924187489,32.749935619908015,32.749935619908015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.629967500425789,9.629967500425789,9.629967500425789,0.0,0.0,0.0,6.353273571876338,6.353273571876338,6.353273571876338,3.2766939285494505,3.2766939285494505,3.2766939285494505,0.0,0.0,0.0,42.37990312033381
2019-09-21,2019-09-21,32.675367078925625,-5.537075012299926,83.67372030474229,32.675367078925625,32.675367078925625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.838361015970629,7.838361015970629,7.838361015970629,0.0,0.0,0.0,3.9633153895478888,3.9633153895478888,3.9633153895478888,3.8750456264227404,3.8750456264227404,3.8750456264227404,0.0,0.0,0.0,40.51372809489625
2019-09-22,2019-09-22,32.60079853794325,-27.98870279957403,60.16318355631594,32.60079853794325,32.60079853794325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.820027902690512,-15.820027902690512,-15.820027902690512,0.0,0.0,0.0,-20.402090451006856,-20.402090451006856,-20.402090451006856,4.582062548316345,4.582062548316345,4.582062548316345,0.0,0.0,0.0,16.780770635252736
2019-09-23,2019-09-23,32.526229996960865,-2.5390567138780407,85.73407230109328,32.526229996960865,32.526229996960865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.594051222217796,8.594051222217796,8.594051222217796,0.0,0.0,0.0,3.219790564976964,3.219790564976964,3.219790564976964,5.374260657240834,5.374260657240834,5.374260657240834,0.0,0.0,0.0,41.120281219178665
2019-09-24,2019-09-24,32.45166145597848,-1.233307025496942,86.34106045755385,32.45166145597848,32.45166145597848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86795451310465,8.86795451310465,8.86795451310465,0.0,0.0,0.0,2.6427172419162726,2.6427172419162726,2.6427172419162726,6.2252372711883766,6.2252372711883766,6.2252372711883766,0.0,0.0,0.0,41.31961596908313
