ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-07-16,2018-07-16,2.052040345155368,-2.38954297304366,6.445957588005885,2.052040345155368,2.052040345155368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20773384407820134,0.20773384407820134,0.20773384407820134,0.0,0.0,0.0,0.04819786222380525,0.04819786222380525,0.04819786222380525,0.15953598185439608,0.15953598185439608,0.15953598185439608,0.0,0.0,0.0,2.2597741892335694
2018-07-17,2018-07-17,2.052634710757518,-1.7752028068079204,6.955398493668195,2.052634710757518,2.052634710757518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3903298041828835,0.3903298041828835,0.3903298041828835,0.0,0.0,0.0,0.15280173953711862,0.15280173953711862,0.15280173953711862,0.23752806464576479,0.23752806464576479,0.23752806464576479,0.0,0.0,0.0,2.4429645149404013
2018-07-18,2018-07-18,2.053229076359668,-1.9706543364255462,6.575190630956989,2.053229076359668,2.053229076359668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23522353198105572,0.23522353198105572,0.23522353198105572,0.0,0.0,0.0,-0.07568169748031557,-0.07568169748031557,-0.07568169748031557,0.3109052294613713,0.3109052294613713,0.3109052294613713,0.0,0.0,0.0,2.2884526083407235
2018-07-19,2018-07-19,2.053823441961818,-1.8302763247849572,6.6835503643682,2.053823441961818,2.053823441961818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35906076505996865,0.35906076505996865,0.35906076505996865,0.0,0.0,0.0,-0.018951759581982537,-0.018951759581982537,-0.018951759581982537,0.3780125246419511,0.3780125246419511,0.3780125246419511,0.0,0.0,0.0,2.412884207021787
2018-07-20,2018-07-20,2.054417807563968,-1.4339524216639439,7.35801585447652,2.054417807563968,2.054417807563968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6987899591312904,0.6987899591312904,0.6987899591312904,0.0,0.0,0.0,0.2614943822491768,0.2614943822491768,0.2614943822491768,0.4372955768821137,0.4372955768821137,0.4372955768821137,0.0,0.0,0.0,2.7532077666952586
2018-07-21,2018-07-21,2.055012173166118,-1.3580848367225582,6.9270243456787,2.055012173166118,2.055012173166118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5441645702521882,0.5441645702521882,0.5441645702521882,0.0,0.0,0.0,0.056824234258182796,0.056824234258182796,0.056824234258182796,0.4873403359940054,0.4873403359940054,0.4873403359940054,0.0,0.0,0.0,2.5991767434183064
2018-07-22,2018-07-22,2.0556065387682683,-2.0975598537141087,6.858141709646597,2.0556065387682683,2.0556065387682683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022252095350879,0.1022252095350879,0.1022252095350879,0.0,0.0,0.0,-0.4246847612058466,-0.4246847612058466,-0.4246847612058466,0.5269099707409345,0.5269099707409345,0.5269099707409345,0.0,0.0,0.0,2.157831748303356
2018-07-23,2018-07-23,2.056200904370418,-1.895917743906044,7.11579612724535,2.056200904370418,2.056200904370418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6031757757892592,0.6031757757892592,0.6031757757892592,0.0,0.0,0.0,0.048197862224289796,0.048197862224289796,0.048197862224289796,0.5549779135649694,0.5549779135649694,0.5549779135649694,0.0,0.0,0.0,2.6593766801596774
2018-07-24,2018-07-24,2.056795269972568,-1.4846886145539142,6.911231829015718,2.056795269972568,2.056795269972568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7235578770229895,0.7235578770229895,0.7235578770229895,0.0,0.0,0.0,0.15280173953745682,0.15280173953745682,0.15280173953745682,0.5707561374855327,0.5707561374855327,0.5707561374855327,0.0,0.0,0.0,2.7803531469955574
2018-07-25,2018-07-25,2.057389635574718,-1.4590261691114772,6.9217748472219345,2.057389635574718,2.057389635574718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4980361624489026,0.4980361624489026,0.4980361624489026,0.0,0.0,0.0,-0.07568169748013615,-0.07568169748013615,-0.07568169748013615,0.5737178599290389,0.5737178599290389,0.5737178599290389,0.0,0.0,0.0,2.5554257980236206
